2025-10-20 22:20:29 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:20:31 | INFO     | MainThread | main                 | main            | Initializing ASRA Ground Control Station
2025-10-20 22:20:31 | INFO     | MainThread | main                 | main            | Creating main UI window
2025-10-20 22:20:31 | INFO     | MainThread | root                 | start           | Performance monitoring started
2025-10-20 22:20:31 | INFO     | Dummy-2  | tile_downloader      | run             | Tile download manager started
2025-10-20 22:20:31 | INFO     | MainThread | root                 | start           | Performance monitoring started
2025-10-20 22:20:31 | INFO     | MainThread | main                 | main            | ASRA GCS application started successfully
2025-10-20 22:22:56 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:22:56 | INFO     | MainThread | main                 | main            | Initializing ASRA Ground Control Station
2025-10-20 22:22:56 | INFO     | MainThread | main                 | main            | Creating main UI window
2025-10-20 22:22:56 | INFO     | MainThread | root                 | start           | Performance monitoring started
2025-10-20 22:22:56 | INFO     | Dummy-2  | tile_downloader      | run             | Tile download manager started
2025-10-20 22:22:57 | INFO     | MainThread | root                 | start           | Performance monitoring started
2025-10-20 22:22:57 | INFO     | MainThread | main                 | main            | ASRA GCS application started successfully
2025-10-20 22:23:55 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:23:56 | INFO     | MainThread | main                 | main            | Initializing ASRA Ground Control Station
2025-10-20 22:23:56 | INFO     | MainThread | main                 | main            | Creating main UI window
2025-10-20 22:23:56 | INFO     | MainThread | root                 | start           | Performance monitoring started
2025-10-20 22:23:56 | INFO     | Dummy-2  | tile_downloader      | run             | Tile download manager started
2025-10-20 22:23:56 | INFO     | MainThread | root                 | start           | Performance monitoring started
2025-10-20 22:23:56 | INFO     | MainThread | main                 | main            | ASRA GCS application started successfully
2025-10-20 22:25:51 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:25:51 | INFO     | MainThread | root                 | start           | Performance monitoring started
2025-10-20 22:25:51 | INFO     | Dummy-2  | tile_downloader      | run             | Tile download manager started
2025-10-20 22:25:51 | INFO     | MainThread | root                 | start           | Performance monitoring started
2025-10-20 22:27:06 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:27:06 | INFO     | MainThread | root                 | start           | Performance monitoring started
2025-10-20 22:27:06 | INFO     | Dummy-2  | tile_downloader      | run             | Tile download manager started
2025-10-20 22:27:06 | INFO     | MainThread | root                 | start           | Performance monitoring started
2025-10-20 22:29:03 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:29:04 | INFO     | Dummy-1  | tile_downloader      | run             | Tile download manager started
2025-10-20 22:30:21 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:30:22 | INFO     | MainThread | main                 | main            | Initializing ASRA Ground Control Station
2025-10-20 22:30:22 | INFO     | MainThread | main                 | main            | Creating main UI window
2025-10-20 22:30:22 | INFO     | Dummy-1  | tile_downloader      | run             | Tile download manager started
2025-10-20 22:30:22 | INFO     | MainThread | main                 | main            | ASRA GCS application started successfully
2025-10-20 22:31:02 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:31:02 | INFO     | Dummy-1  | tile_downloader      | run             | Tile download manager started
2025-10-20 22:39:28 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:48:22 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:48:53 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:50:28 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:52:02 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:53:47 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:55:33 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:56:49 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:56:49 | INFO     | MainThread | main                 | main            | Initializing ASRA Ground Control Station
2025-10-20 22:56:49 | INFO     | MainThread | main                 | main            | Creating main UI window
2025-10-20 22:56:50 | INFO     | MainThread | main                 | main            | ASRA GCS application started successfully
2025-10-20 22:58:33 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 22:59:13 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 23:04:48 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 23:08:17 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 23:13:51 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-20 23:24:45 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-24 10:02:53 | INFO     | MainThread | root                 | setup_logging   | ASRA GCS Logging System Initialized
2025-10-24 10:02:54 | INFO     | MainThread | main                 | main            | Initializing ASRA Ground Control Station
2025-10-24 10:02:54 | CRITICAL | MainThread | main                 | main            | Critical error starting ASRA GCS: 'charmap' codec can't encode character '\U0001f681' in position 0: character maps to <undefined>
Traceback (most recent call last):
  File "C:\Users\spect\ASRA_GCS_with_map\asra_gcs.py", line 47, in main
    print("🚁 ASRA Ground Control Station v2.0")
    ~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
